SQLDATE,EventCode,AvgTone,GoldsteinScale,NumMentions,NumSources,NumArticles,SOURCEURL
20170918,042,0.0,1.9,4,1,4,http://kabar24.bisnis.com/read/20170918/15/690846/berikut-kegiatan-presiden-jokowi-di-magelang
20170918,043,3.2520325203252,2.8,2,1,2,http://www.en.netralnews.com/news/business/read/11466/jokowi.appreciates.soes....efforts.to.develop.economy.around.borobudur
20170918,0841,3.2520325203252,7.0,10,1,10,http://www.en.netralnews.com/news/business/read/11466/jokowi.appreciates.soes....efforts.to.develop.economy.around.borobudur
20170918,042,3.2520325203252,1.9,4,1,2,http://www.en.netralnews.com/news/business/read/11466/jokowi.appreciates.soes....efforts.to.develop.economy.around.borobudur
20170918,042,0.0,1.9,4,1,4,http://kabar24.bisnis.com/read/20170918/15/690846/berikut-kegiatan-presiden-jokowi-di-magelang
20170918,110,-5.50458715596335,-2.0,4,1,4,https://www.merdeka.com/politik/pks-kecewa-jokowi-tak-ambil-tindakan-nyata-atas-pelemahan-kpk.html
20170918,012,0.79787234042553,-0.4,10,1,10,http://news.liputan6.com/read/3098939/prabowo-bukan-tak-solider-ke-rohingya-rakyat-kita-masih-susah
20170918,111,-2.42424242424242,-2.0,6,1,6,http://wartakota.tribunnews.com/2017/09/18/prabowo-subianto-kondisi-indonesia-saat-ini-paradoks-yang-sangat-tidak-masuk-akal
20170918,013,-0.3968253968254,0.4,10,1,10,http://news.liputan6.com/read/3099196/5-pemikiran-ayah-prabowo-subianto-bidang-ekonomi-politik
20170918,051,2.12765957446808,3.4,10,1,10,http://www.tribunnews.com/nasional/2017/09/18/prabowo-orang-indonesia-kalau-sedang-berkuasa-tidak-mau-dikoordinasi
20170918,020,-0.97402597402598,3.0,4,1,4,http://en.republika.co.id/berita/en/national-politics/17/09/18/owhi5k414-jokowi-proposes-update-of-communist-party-insurgence-film
20170918,014,-1.50602409638554,0.0,8,1,8,http://www.tribunnews.com/nasional/2017/09/18/wasekjen-hanura-nyong-jadi-bingung-kok-prabowo-dan-amien-malah-nyerang-jokowi
20170918,043,-4.83091787439613,2.8,8,1,8,http://jabar.tribunnews.com/2017/09/18/terduga-teroris-ditangkap-sebelum-presiden-jokowi-hadir-di-cirebon
20170918,043,9.53757225433521,2.8,8,1,8,https://news.okezone.com/read/2017/09/18/337/1778537/hadiri-festival-keraton-nusantara-di-cirebon-jokowi-ajak-para-raja-menjaga-warisan-budaya
20170918,043,0.0,2.8,8,1,8,http://www.tribunnews.com/regional/2017/09/18/presiden-jokowi-membuka-perkemahan-pramuka-maarif-nu-di-magelang
20170918,051,3.2520325203252,3.4,8,1,8,http://www.en.netralnews.com/news/business/read/11466/jokowi.appreciates.soes....efforts.to.develop.economy.around.borobudur
20170918,020,1.45348837209303,3.0,4,1,4,http://www.tribunnews.com/nasional/2017/09/18/ruhut-prabowo-kebelet-mau-nyapres-jadi-asal-saja-komentar-ngawur
20170917,073,0.0,7.4,5,1,5,http://www.en.netralnews.com/news/international/read/11426/president.jokowi.indonesia.will.not.remain.silent.on.global.muslim.issues
20170917,040,0.0,1.0,2,1,2,http://www.en.netralnews.com/news/international/read/11426/president.jokowi.indonesia.will.not.remain.silent.on.global.muslim.issues
20170917,030,-8.32298136645963,4.0,10,1,10,http://www.straitstimes.com/asia/se-asia/jokowis-tough-stance-on-drugs-stirs-debate
20170917,111,-2.29508196721312,-2.0,10,1,10,http://www.rri.co.id/post/berita/435080/nasional/jokowi_dakwah_dengan_kasih_sayang_untuk_kebutuhan_nkri.html
20170917,042,2.73972602739726,1.9,2,1,2,https://news.okezone.com/read/2017/09/17/337/1777768/8206-presiden-jokowi-beberkan-peran-indonesia-dalam-jaga-perdamaian-dunia
20170917,042,2.73972602739726,1.9,8,1,8,https://news.okezone.com/read/2017/09/17/337/1777768/8206-presiden-jokowi-beberkan-peran-indonesia-dalam-jaga-perdamaian-dunia
20170917,043,2.73972602739726,2.8,10,1,10,https://news.okezone.com/read/2017/09/17/337/1777768/8206-presiden-jokowi-beberkan-peran-indonesia-dalam-jaga-perdamaian-dunia
20170917,042,-2.31660231660231,1.9,4,1,4,http://nasional.republika.co.id/berita/nasional/umum/17/09/17/owf141354-jokowi-ingat-pesan-presiden-afganistan-cegah-konflik-sara
20170917,051,0.88495575221239,3.4,4,1,4,https://news.okezone.com/read/2017/09/17/337/1777694/demi-memelihara-ketertiban-dunia-ini-komitmen-presiden-jokowi
20170917,054,0.88495575221239,6.0,10,1,10,https://news.okezone.com/read/2017/09/17/337/1777694/demi-memelihara-ketertiban-dunia-ini-komitmen-presiden-jokowi
20170917,040,0.0,1.0,1,1,1,http://www.en.netralnews.com/news/international/read/11426/president.jokowi.indonesia.will.not.remain.silent.on.global.muslim.issues
20170917,040,0.0,1.0,1,1,1,http://www.en.netralnews.com/news/international/read/11426/president.jokowi.indonesia.will.not.remain.silent.on.global.muslim.issues
20170917,036,0.0,4.0,6,1,6,http://www.en.netralnews.com/news/international/read/11426/president.jokowi.indonesia.will.not.remain.silent.on.global.muslim.issues
20170917,040,-1.55642023346303,1.0,10,1,10,https://www.cnnindonesia.com/nasional/20170917184013-20-242306/jokowi-diminta-jamin-kebebasan-berkumpul-dan-berpendapat/
20170917,010,-4.16666666666667,0.0,10,1,10,http://news.liputan6.com/read/3098161/jokowi-sikap-kita-tegas-kekerasan-di-rakhine-harus-dihentikan
20170917,036,-0.938967136150239,4.0,10,1,10,http://jateng.metrotvnews.com/peristiwa/4baz6wWk-jokowi-indonesia-tak-berdiam-diri-dengan-persoalan-umat-muslim-dunia
20170917,040,-0.938967136150239,1.0,10,1,10,http://jateng.metrotvnews.com/peristiwa/4baz6wWk-jokowi-indonesia-tak-berdiam-diri-dengan-persoalan-umat-muslim-dunia
20170917,010,-1.55642023346303,0.0,10,1,10,https://www.cnnindonesia.com/nasional/20170917184013-20-242306/jokowi-diminta-jamin-kebebasan-berkumpul-dan-berpendapat/
20170917,020,-0.954391520429255,3.0,20,2,20,http://nasional.republika.co.id/berita/nasional/politik/17/09/17/owf33b354-jokowi-indonesia-bantu-selesaikan-masalah-umat-muslim-dunia
20170917,051,0.88495575221239,3.4,4,1,4,https://news.okezone.com/read/2017/09/17/337/1777694/demi-memelihara-ketertiban-dunia-ini-komitmen-presiden-jokowi
20170917,051,0.88495575221239,3.4,2,1,2,https://news.okezone.com/read/2017/09/17/337/1777694/demi-memelihara-ketertiban-dunia-ini-komitmen-presiden-jokowi
20170919,043,2.15827338129497,2.8,10,1,10,http://www.tribunnews.com/bisnis/2017/09/19/presiden-jokowi-bertemu-dengan-perwakilan-wipo
20170919,010,11.0687022900763,0.0,10,1,10,http://news.metrotvnews.com/peristiwa/ybDRZQAK-jokowi-ingin-keraton-turut-bangun-karakter-bangsa
20170919,010,-4.8582995951417,0.0,10,1,10,http://news.liputan6.com/read/3099992/prabowo-jadi-kuli-saja-indonesia-kalah-saing
20170919,012,-4.8582995951417,-0.4,10,1,10,http://news.liputan6.com/read/3099992/prabowo-jadi-kuli-saja-indonesia-kalah-saing
20170919,120,-4.8582995951417,-4.0,10,1,10,http://news.liputan6.com/read/3099992/prabowo-jadi-kuli-saja-indonesia-kalah-saing
20170919,043,0.8130081300813,2.8,8,1,8,http://www.tribunnews.com/nasional/2017/09/19/hadiri-festival-keraton-nusantara-ke-xi-ini-pesan-jokowi
20170920,061,-0.78740157480315,6.4,10,1,10,http://manado.tribunnews.com/2017/09/20/presiden-jokowi-langsung-kirim-utusan-saat-tahu-kapal-roro-berhenti-operasi
20170920,061,-0.78740157480315,6.4,10,1,10,http://manado.tribunnews.com/2017/09/20/presiden-jokowi-langsung-kirim-utusan-saat-tahu-kapal-roro-berhenti-operasi
20170919,010,-1.97044334975369,0.0,10,1,10,http://www.radarjogja.co.id/presiden-jokowi-hadiri-pembukaan-perwimanas-ii-di-lapangan-tembak-akmil/
