nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;65171735;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;564048;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;8977726;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2015;Tahun;5940621;"Ton-Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;569522;"Km-Pesawat (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;89273701;"Penumpang Diangkut"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;94261453;"Km-Tempat Duduk Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;73856901;"Penumpang -Km Terpakai (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;604339;"Barang Diangkut (TON)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;11487770;"Ton-Km Tersedia (000)"
"Produksi Perusahaan Penerbangan (Dalam Negeri)";"Tidak Ada";2016;Tahun;6493557;"Ton-Km Terpakai (000)"
